id,value,skill_match,job_size,skill_in_module,benchmark_job
digital electronics,12,0,0,"['ET1003', 'ET1004']",Technician (Avionics)
healthcare,12,0,0,['LC8062'],Technician (Avionics)
fireproofing / fire protection,12,0,0,['ET0434'],Technician (Avionics)
html4/html5,12,0,0,"['LCXX54', 'SP103B', 'LCXX57', 'ET0085']",Technician (Avionics)
reassemble,11,-1,11,[],Technician (Avionics)
technical support,11,-1,11,[],Technician (Avionics)
microsoft windows os,11,0,0,['ET0083'],Technician (Avionics)
semiconductor,11,0,0,['ET1006'],Technician (Avionics)
cad (computer aided design),11,0,0,['ET0085'],Technician (Avionics)
sheet metal work,10,-1,10,[],Technician (Avionics)
proactive,10,1,10,"['ET1013', 'ET1014']",Technician (Avionics)
system engineering,10,1,8,['ET0437'],Technician (Avionics)
engineering drawings,10,1,3,['ET0438'],Technician (Avionics)
diagrams and drawings,10,1,2,"['ET0438', 'ET0085']",Technician (Avionics)
lifelong learning,10,1,2,['SP201A'],Technician (Avionics)
marketing,10,0,0,['SP201A'],Technician (Avionics)
telecommunications,10,0,0,['ET0435'],Technician (Avionics)
cake products,10,0,0,['ET1013'],Technician (Avionics)
inquisitive,10,0,0,['LCXX57'],Technician (Avionics)
basic navigation,10,0,0,['ET0436'],Technician (Avionics)
soldering,9,1,22,"['ET1014', 'ET1013', 'ET0438']",Technician (Avionics)
printed circuit board (pcb),9,1,11,"['ET1014', 'ET1013', 'ET0429']",Technician (Avionics)
manufacturing production planning,9,1,2,['ET0437'],Technician (Avionics)
synchronous/piezo/electric motors,9,0,0,['ET0434'],Technician (Avionics)
biopharmaceutical,9,0,0,['ET0437'],Technician (Avionics)
human resource,9,0,0,['LCXX57'],Technician (Avionics)
human factors,9,0,0,['ET0437'],Technician (Avionics)
aerospace engineering,8,1,33,['ET0434'],Technician (Avionics)
aeronautics,8,1,23,"['ME0501', 'ET0438']",Technician (Avionics)
efficient,8,1,18,"['ET0437', 'ET0085']",Technician (Avionics)
mechanical calibration,8,1,15,"['ET1006', 'ET0438']",Technician (Avionics)
electrical engineering,8,1,9,"['ET1013', 'ET1014']",Technician (Avionics)
singapore airworthiness requirement (sar),8,-1,8,[],Technician (Avionics)
r-programming,8,-1,8,[],Technician (Avionics)
electrical diagrams,8,1,7,['ET0438'],Technician (Avionics)
system maintenance,8,1,3,"['ET0436', 'ET0435']",Technician (Avionics)
configuration management,8,0,0,"['ET1006', 'ME0501']",Technician (Avionics)
data visualisation,8,0,0,['MS4215_MS6215'],Technician (Avionics)
debugging,8,0,0,['ET0083'],Technician (Avionics)
legal/law,8,0,0,['ET0437'],Technician (Avionics)
business pitching,8,0,0,['LCXX61'],Technician (Avionics)
design thinking,8,0,0,"['LC8062', 'ET1014']",Technician (Avionics)
storyboarding,8,0,0,['ET1010'],Technician (Avionics)
financial planning,8,0,0,['SP103B'],Technician (Avionics)
additive manufacturing,8,0,0,"['ET1014', 'ET0085']",Technician (Avionics)
operational amplifiers (op amps),8,0,0,"['ET1006', 'ET0429']",Technician (Avionics)
work order,7,-1,7,[],Technician (Avionics)
computer networking,7,1,1,['ET0730'],Technician (Avionics)
user data analytics,7,0,0,['LC8062'],Technician (Avionics)
transmission and distribution systems,7,0,0,['ET0436'],Technician (Avionics)
statistical mechanics,7,0,0,['MS4215_MS6215'],Technician (Avionics)
image analytics,7,0,0,['MS2216/4216/6216'],Technician (Avionics)
entrepreneurial,7,0,0,['ET1014'],Technician (Avionics)
drive-by-wire,7,0,0,['ET0434'],Technician (Avionics)
english language,6,1,12,['LCXX57'],Technician (Avionics)
follow up,6,1,9,['ET0429'],Technician (Avionics)
preventive maintenance,6,-1,6,[],Technician (Avionics)
analog circuits,6,-1,6,[],Technician (Avionics)
japanese language,6,-1,6,[],Technician (Avionics)
amazon web services,6,-1,6,[],Technician (Avionics)
continuous improvement,6,-1,6,[],Technician (Avionics)
support analysis,6,-1,6,[],Technician (Avionics)
cadd,6,0,0,['ET0085'],Technician (Avionics)
service oriented architecture,6,0,0,"['LCXX54', 'LCXX57']",Technician (Avionics)
pcb (printed circuit board) design,6,0,0,"['ET1013', 'ET1014']",Technician (Avionics)
hardness testing,6,0,0,['ET0438'],Technician (Avionics)
visual communication,6,0,0,['LCXX56'],Technician (Avionics)
web protocol,6,0,0,"['ET0436', 'ET0730']",Technician (Avionics)
microprocessor,6,0,0,['ET1010'],Technician (Avionics)
publishing,6,0,0,"['ET0083', 'LCXX61', 'ET0730']",Technician (Avionics)
integrated circuit fabrication / testing,6,0,0,"['ET1003', 'ET1014']",Technician (Avionics)
apache airflow,6,0,0,"['ET0437', 'ME0501', 'ET0434']",Technician (Avionics)
trend analysis,5,-1,5,[],Technician (Avionics)
engineering design,5,0,0,['ET1014'],Technician (Avionics)
manufacturing workflow,5,0,0,['ET1013'],Technician (Avionics)
metal industry,5,0,0,['ET0438'],Technician (Avionics)
microbiology,5,0,0,['ET0438'],Technician (Avionics)
conventional machining,5,0,0,['ET1013'],Technician (Avionics)
aerodynamics,5,0,0,['ME0501'],Technician (Avionics)
aircraft systems,4,1,38,"['ET0434', 'ET0438']",Technician (Avionics)
analytical thinking,4,1,18,"['LCXX60', 'MS2216/4216/6216']",Technician (Avionics)
oscilloscopes,4,1,13,"['ET1006', 'ET1005']",Technician (Avionics)
aircraft electrical systems,4,1,8,"['ET0434', 'ET0438']",Technician (Avionics)
technical data preparation,4,-1,4,[],Technician (Avionics)
sketch,4,-1,4,[],Technician (Avionics)
root cause analysis,4,-1,4,[],Technician (Avionics)
structural repair,4,-1,4,[],Technician (Avionics)
airline operations management,4,-1,4,[],Technician (Avionics)
consistent,4,-1,4,[],Technician (Avionics)
customer support,4,-1,4,[],Technician (Avionics)
product development,4,-1,4,[],Technician (Avionics)
committed,4,-1,4,[],Technician (Avionics)
engineering design review,4,-1,4,[],Technician (Avionics)
airworthiness,4,1,3,"['ET0435', 'ET0434']",Technician (Avionics)
computer systems,4,1,3,"['ET0083', 'ET0436']",Technician (Avionics)
technical writing,4,0,0,['LCXX56'],Technician (Avionics)
material & energy balance,4,0,0,['ME0501'],Technician (Avionics)
logic circuit,4,0,0,"['ET1003', 'ET1004']",Technician (Avionics)
translation,4,0,0,['ET0730'],Technician (Avionics)
orthographic projection,4,0,0,['ET0085'],Technician (Avionics)
broadcasting (media),4,0,0,['ET0730'],Technician (Avionics)
nas infrastructure,4,0,0,['ET0438'],Technician (Avionics)
flight instrument,4,0,0,['ET0436'],Technician (Avionics)
operating procedures,4,0,0,"['ET0436', 'ET0435']",Technician (Avionics)
assembly language,4,0,0,['ET0083'],Technician (Avionics)
hardware,4,0,0,"['ET0083', 'ET0438']",Technician (Avionics)
embedded system,4,0,0,['ET1010'],Technician (Avionics)
confident,4,0,0,['LCXX60'],Technician (Avionics)
autocad,4,0,0,['ET0085'],Technician (Avionics)
integrated circuit,4,0,0,"['ET1013', 'ET1004']",Technician (Avionics)
apache spark,4,0,0,['ET0434'],Technician (Avionics)
topology,4,0,0,['ET0730'],Technician (Avionics)
workplace learning,4,0,0,['SP201A'],Technician (Avionics)
ipv4,4,0,0,['ET0730'],Technician (Avionics)
wi-fi protected setup,4,0,0,"['LCXX54', 'LCXX57']",Technician (Avionics)
isometric production,4,0,0,['ET0085'],Technician (Avionics)
visual inspection,4,0,0,"['ET0437', 'ET0438']",Technician (Avionics)
quality systems,4,0,0,['ET0437'],Technician (Avionics)
global positioning system,3,1,6,['ET0435'],Technician (Avionics)
vb,3,-1,3,[],Technician (Avionics)
career services,3,-1,3,[],Technician (Avionics)
vocational training,3,-1,3,[],Technician (Avionics)
european aviation safety agency license,3,-1,3,[],Technician (Avionics)
procurement,3,-1,3,[],Technician (Avionics)
transformational leadership,3,-1,3,[],Technician (Avionics)
military aircraft,3,-1,3,[],Technician (Avionics)
dynamic host configuration protocol,3,0,0,['ET0730'],Technician (Avionics)
control circuit,3,0,0,['ET0434'],Technician (Avionics)
aircraft performance management,3,0,0,['ME0501'],Technician (Avionics)
three phase circuits,3,0,0,['ET0053'],Technician (Avionics)
swing (java toolkit),3,0,0,['ET0436'],Technician (Avionics)
classroom management,3,0,0,['LCXX61'],Technician (Avionics)
turbine engine,3,0,0,['ME0501'],Technician (Avionics)
statistical process control,3,0,0,['ET0437'],Technician (Avionics)
business communication,3,0,0,['LCXX61'],Technician (Avionics)
public speaking,3,0,0,['LCXX61'],Technician (Avionics)
consulting,3,0,0,['SP103B'],Technician (Avionics)
3d design,3,0,0,['ET0085'],Technician (Avionics)
data/text mining,3,0,0,['MS4215_MS6215'],Technician (Avionics)
hydraulic systems,3,0,0,['ET0434'],Technician (Avionics)
local area network configuration,3,0,0,['ET0730'],Technician (Avionics)
network theorems,3,0,0,['ET0730'],Technician (Avionics)
ordinary differential equations,3,0,0,['MS2216/4216/6216'],Technician (Avionics)
packaging design,3,0,0,['ET1006'],Technician (Avionics)
laser,3,0,0,"['ET1014', 'ET1013', 'ET0085']",Technician (Avionics)
laser cutting,3,0,0,"['ET1014', 'ET1013', 'ET0085']",Technician (Avionics)
domain name servers (dns),3,0,0,['ET0730'],Technician (Avionics)
electronics engineering,2,1,32,['SP103B'],Technician (Avionics)
facilitation,2,1,9,['LCXX61'],Technician (Avionics)
possess class 4/5 driving licence,2,-1,2,[],Technician (Avionics)
sales,2,-1,2,[],Technician (Avionics)
aviation vehicle,2,-1,2,[],Technician (Avionics)
microsoft office (excel),2,-1,2,[],Technician (Avionics)
safety compliance (wsh),2,-1,2,[],Technician (Avionics)
forklift operation,2,-1,2,[],Technician (Avionics)
technical documentation,2,-1,2,[],Technician (Avionics)
adaptable,2,-1,2,[],Technician (Avionics)
cabin crew,2,-1,2,[],Technician (Avionics)
results-oriented,2,-1,2,[],Technician (Avionics)
web applications,2,-1,2,[],Technician (Avionics)
general algorithms,2,0,0,['ET0083'],Technician (Avionics)
aerofoil design,2,0,0,['ME0501'],Technician (Avionics)
arduino,2,0,0,"['ET1013', 'ET1014']",Technician (Avionics)
financial literacy,2,0,0,['SP103B'],Technician (Avionics)
multicast,2,0,0,['ET0730'],Technician (Avionics)
business writing,2,0,0,['LCXX56'],Technician (Avionics)
growth mindset,2,0,0,['SP103B'],Technician (Avionics)
network address translation (nat),2,0,0,['ET0730'],Technician (Avionics)
psychology,2,0,0,['ET0437'],Technician (Avionics)
cisco certified network associate,2,0,0,['ET0730'],Technician (Avionics)
air navigation,2,0,0,['ET0434'],Technician (Avionics)
port management,2,0,0,['ET1010'],Technician (Avionics)
electronic flight instrument system (efis),2,0,0,['ET0436'],Technician (Avionics)
wide area network configuration,2,0,0,['ET0730'],Technician (Avionics)
connection diagrams,2,0,0,['ET0053'],Technician (Avionics)
wafer fabrication,2,0,0,['ET1013'],Technician (Avionics)
security screening,2,0,0,['ET0434'],Technician (Avionics)
electric circuit analysis,2,0,0,['ET0053'],Technician (Avionics)
servomechanism,2,0,0,['ET0429'],Technician (Avionics)
manufacturing,2,0,0,['ET0437'],Technician (Avionics)
systems architecture,2,0,0,['ET0434'],Technician (Avionics)
magnetic circuits,2,0,0,['ET1005'],Technician (Avionics)
flux,2,0,0,"['ET0436', 'ET1005']",Technician (Avionics)
fusion 360,2,0,0,['ET0085'],Technician (Avionics)
electric vehicle,2,0,0,['ET1013'],Technician (Avionics)
health promotion,2,0,0,['LCXX54'],Technician (Avionics)
investigation,1,1,5,['ET0429'],Technician (Avionics)
radar,1,1,5,['ET0435'],Technician (Avionics)
reliable,1,1,4,['ET0437'],Technician (Avionics)
talent recruitment,1,-1,1,[],Technician (Avionics)
advertising,1,-1,1,[],Technician (Avionics)
blueprint comprehension,1,-1,1,[],Technician (Avionics)
mechatronics engineering,1,-1,1,[],Technician (Avionics)
process analysis,1,-1,1,[],Technician (Avionics)
precision engineering,1,-1,1,[],Technician (Avionics)
insurance,1,-1,1,[],Technician (Avionics)
possess class 3 driving licence,1,-1,1,[],Technician (Avionics)
data definition language (ddl),1,-1,1,[],Technician (Avionics)
disciplined,1,-1,1,[],Technician (Avionics)
mechanical engineering,1,-1,1,[],Technician (Avionics)
microsoft office suite,1,-1,1,[],Technician (Avionics)
surveillance,1,-1,1,[],Technician (Avionics)
productivity improvement,1,-1,1,[],Technician (Avionics)
mechanical systems,1,-1,1,[],Technician (Avionics)
environmental health,1,-1,1,[],Technician (Avionics)
equipment testing,1,-1,1,[],Technician (Avionics)
possess driving licence,1,-1,1,[],Technician (Avionics)
friendly,1,-1,1,[],Technician (Avionics)
mesh analysis,1,0,0,['ET0053'],Technician (Avionics)
naïve bayes algorithm,1,0,0,['MS4215_MS6215'],Technician (Avionics)
aircraft instrument systems,1,0,0,['ET0436'],Technician (Avionics)
project design,1,0,0,['ET0438'],Technician (Avionics)
workplace ergonomics,1,0,0,['ET0437'],Technician (Avionics)
information literacy,1,0,0,['LCXX60'],Technician (Avionics)
geographical zoning,1,0,0,['ET0434'],Technician (Avionics)
keyboard,1,0,0,['ET0083'],Technician (Avionics)
personal development,1,0,0,['SP103B'],Technician (Avionics)
ripple (payment protocol),1,0,0,['ET1004'],Technician (Avionics)
co-axial cables,1,0,0,['ET0438'],Technician (Avionics)
sampling,1,0,0,['MS4215_MS6215'],Technician (Avionics)
complex systems (general),1,0,0,['ET0437'],Technician (Avionics)
cluster analysis,1,0,0,['MS4215_MS6215'],Technician (Avionics)
flexible pipes,1,0,0,['ET0438'],Technician (Avionics)
client-server application,1,0,0,['ET0730'],Technician (Avionics)
social media (youtube),1,0,0,['ET0085'],Technician (Avionics)
social psychology,1,0,0,['ET0437'],Technician (Avionics)
c++,1,0,0,['ET0083'],Technician (Avionics)
controlled rectifiers,1,0,0,['ET0429'],Technician (Avionics)
autodesk,1,0,0,['ET0085'],Technician (Avionics)
error analysis,1,0,0,['MS2216/4216/6216'],Technician (Avionics)
instrument landing system,1,0,0,['ET0435'],Technician (Avionics)
